seed,alpha_0.7_R@5,alpha_0.7_NDCG@5,alpha_0.7_mAP@5,alpha_0.7_R@10,alpha_0.7_NDCG@10,alpha_0.7_mAP@10,alpha_0.7_R@15,alpha_0.7_NDCG@15,alpha_0.7_mAP@15,alpha_0.85_R@5,alpha_0.85_NDCG@5,alpha_0.85_mAP@5,alpha_0.85_R@10,alpha_0.85_NDCG@10,alpha_0.85_mAP@10,alpha_0.85_R@15,alpha_0.85_NDCG@15,alpha_0.85_mAP@15
2023006,0.7636798424532283,0.6689035226369809,0.6259111103296291,0.8286678857785905,0.6756967128756273,0.6007932505610102,0.8582782388521593,0.6731321165771602,0.5789984314401284,0.7611478407652271,0.6667553083722774,0.623893030743502,0.8231818821212548,0.6724354990601865,0.5978635218036668,0.8546912364608243,0.6710339343292425,0.5771992521403003
2023008,0.7709945139963427,0.6747746471922784,0.6318207749175536,0.8354902236601491,0.680744186461607,0.6055891592595108,0.8626389084259389,0.6771378566280875,0.582978049232358,0.7688141792094528,0.6744672659319227,0.6318887638517684,0.8302152201434801,0.6790440312784666,0.6044443166783392,0.8606695737797159,0.6764524670931872,0.5822400287862839
2023524,0.7617808411872274,0.6661294374628131,0.6232421539206953,0.8231115487410325,0.671575370295774,0.5976078976119293,0.8527922351948235,0.669051163671339,0.5758839637886812,0.7584751723167815,0.6649554503948194,0.6226840780856817,0.8188915459276973,0.6695649631884062,0.595787098140158,0.8510339006892671,0.6679566737840803,0.5745707184798579
2023552,0.7675481783654522,0.668679904445211,0.6243506861411983,0.8311998874665917,0.6743332728701223,0.5976116585272925,0.8607399071599381,0.6718531261500782,0.5756500456156006,0.7636798424532283,0.6671727130980817,0.6238142964317531,0.8276128850752568,0.6730537558482421,0.5971028780032877,0.8594739063159376,0.671458766967953,0.5759338841055504
